source_id,career,career_family,riasec_profile,institution,institution_type,management_type,location,duration_years,monthly_income,annual_cost,admission_rate,duration_measured,income_measured,cost_measured,admission_measured
75,Abastecimiento,Administración de Empresas,ECS,Aeronautico Suboficial Maestro 2Da Fap Manuel Polo Jimenez,Instituto,Pública,Lima,3,1985,1665,60,true,false,false,true
347,Actuación,Teatro,AES,Arte Dramático Guillermo Ugarte Chamorro,Instituto,Pública,Lima,5,1100,300,88,true,false,false,false
501,Actuación,Teatro,AES,Carlos Baca Flor,Instituto,Pública,Arequipa,5,1100,300,88,true,false,true,true
1136,Actuación,Teatro,AES,Eduardo Meza Saravia,Instituto,Pública,Ucayali,5,1100,160,88,true,false,true,false
4761,Acuicultura,Acuicultura,RIE,Universidad Nacional de La Amazonía Peruana,Universidad,Pública,Loreto,5,1100,144,90,true,false,true,false
62,Administración,Administración de Empresas,ECS,Administracion y Negocios,Instituto,Privada,Lima,3,1985,7800,90,true,false,true,false
96,Administración,Administración de Empresas,ECS,Alas Peruanas - Arequipa,Instituto,Privada,Arequipa,3,1985,1960,90,true,false,true,true
639,Administración,Administración de Empresas,ECS,Cesca,Instituto,Privada,Lima,3,1804,800,90,true,true,true,false
843,Administración,Administración de Empresas,ECS,Continental,Instituto,Privada,Junín,3,2198,2600,90,true,true,true,false
1248,Administración,Administración de Empresas,ECS,Ete Sargento 2Do Fernando Lores Tenazoa,Instituto,Pública,Lima,3,1985,1665,33,true,false,false,true
1375,Administración,Administración de Empresas,ECS,Frederick Winslow Taylor,Instituto,Privada,Lima,3,1980,1700,90,true,true,true,true
1607,Administración,Administración de Empresas,ECS,Idat,Instituto,Privada,Lima,3,1872,4100,90,true,true,true,false
1667,Administración,Administración de Empresas,ECS,Instituto Peruano de Administración de Empresas - Ipae,Instituto,Privada,Lima,3,2065,7980,90,true,true,true,false
1676,Administración,Administración de Empresas,ECS,Instituto Peruano de Administración de Empresas Ipae - Piura,Instituto,Privada,Piura,3,1985,4680,90,true,false,true,false
1683,Administración,Administración de Empresas,ECS,Instituto Peruano de Administración de Empresas Ipae-Ica,Instituto,Privada,Ica,3,1985,4680,90,true,false,true,false
1689,Administración,Administración de Empresas,ECS,Instituto Peruano de Administración de Empresas Ipae-Iquitos,Instituto,Privada,Loreto,3,1985,5040,90,true,false,true,false
2189,Administración,Administración de Empresas,ECS,Leonardo Da Vinci,Instituto,Privada,La Libertad,3,1730,680,90,true,true,true,false
2751,Administración,Administración de Empresas,ECS,Perú - Católica,Instituto,Privada,Lima,3,1985,1665,36,true,false,false,true
3116,Administración,Administración de Empresas,ECS,San José Oriol,Instituto,Privada,Arequipa,3,2054,400,90,true,true,true,false
3192,Administración,Administración de Empresas,ECS,San Pedro,Instituto,Privada,Áncash,3,1985,1320,90,true,false,true,false
3882,Administración,Administración de Empresas,ECS,Universidad Andina Del Cusco,Universidad,Privada,Cusco,5,2548,7002,68,true,true,true,true
3898,Administración,Administración de Empresas,ECS,Universidad Andina Del Cusco,Universidad,Privada,Madre De Dios,5,2548,4260,70,false,true,false,false
3944,Administración,Administración de Empresas,ECS,Universidad Antonio Ruíz De Montoya,Universidad,Privada,Lima,5,2448,4260,89,true,false,false,true
3951,Administración,Administración de Empresas,ECS,Universidad Autónoma del Perú,Universidad,Privada,Lima,5,2393,4260,79,true,true,false,true
4022,Administración,Administración de Empresas,ECS,Universidad Católica Los Ángeles de Chimbote,Universidad,Privada,Ayacucho,5,2165,4260,70,false,true,false,false
4029,Administración,Administración de Empresas,ECS,Universidad Católica Los Ángeles de Chimbote,Universidad,Privada,Huánuco,5,2165,4260,70,false,true,false,false
4035,Administración,Administración de Empresas,ECS,Universidad Católica Los Ángeles de Chimbote,Universidad,Privada,Junín,5,2165,4260,70,false,true,false,false
4043,Administración,Administración de Empresas,ECS,Universidad Católica Los Ángeles de Chimbote,Universidad,Privada,La Libertad,5,2165,4260,70,false,true,false,false
4053,Administración,Administración de Empresas,ECS,Universidad Católica Los Ángeles de Chimbote,Universidad,Privada,Lambayeque,5,2165,4260,70,false,true,false,false
4060,Administración,Administración de Empresas,ECS,Universidad Católica Los Ángeles de Chimbote,Universidad,Privada,Lima,5,2165,4260,70,false,true,false,false
4068,Administración,Administración de Empresas,ECS,Universidad Católica Los Ángeles de Chimbote,Universidad,Privada,Piura,5,2165,4260,70,false,true,false,false
4078,Administración,Administración de Empresas,ECS,Universidad Católica Los Ángeles de Chimbote,Universidad,Privada,Tumbes,5,2165,4260,70,false,true,false,false
4086,Administración,Administración de Empresas,ECS,Universidad Católica Los Ángeles de Chimbote,Universidad,Privada,Ucayali,5,2165,4260,70,false,true,false,false
4009,Administración,Administración de Empresas,ECS,Universidad Católica Los Ángeles de Chimbote,Universidad,Privada,Áncash,5,2165,4260,89,true,true,false,true
4126,Administración,Administración de Empresas,ECS,Universidad Católica Sedes Sapientiae,Universidad,Privada,Lima,5,2477,4260,57,true,true,false,true
3997,Administración,Administración de Empresas,ECS,Universidad Católica de Trujillo Benedicto XVI,Universidad,Privada,La Libertad,5,1675,4260,70,false,true,false,false
4303,Administración,Administración de Empresas,ECS,Universidad Continental,Universidad,Privada,Arequipa,5,2448,4260,70,false,true,false,false
4314,Administración,Administración de Empresas,ECS,Universidad Continental,Universidad,Privada,Cusco,5,2448,4260,70,false,true,false,false
4325,Administración,Administración de Empresas,ECS,Universidad Continental,Universidad,Privada,Junín,5,2448,4260,57,true,true,false,true
4156,Administración,Administración de Empresas,ECS,Universidad César Vallejo,Universidad,Privada,Callao,5,2397,4260,70,false,true,false,false
4170,Administración,Administración de Empresas,ECS,Universidad César Vallejo,Universidad,Privada,La Libertad,5,2397,4700,63,true,true,true,true
4200,Administración,Administración de Empresas,ECS,Universidad César Vallejo,Universidad,Privada,Lambayeque,5,2397,4260,70,false,true,false,false
4219,Administración,Administración de Empresas,ECS,Universidad César Vallejo,Universidad,Privada,Lima,5,2397,4260,70,false,true,false,false
4236,Administración,Administración de Empresas,ECS,Universidad César Vallejo,Universidad,Privada,Piura,5,2397,4260,70,false,true,false,false
4252,Administración,Administración de Empresas,ECS,Universidad César Vallejo,Universidad,Privada,San Martín,5,2397,4260,70,false,true,false,false
4147,Administración,Administración de Empresas,ECS,Universidad César Vallejo,Universidad,Privada,Áncash,5,2397,4260,70,false,true,false,false
4556,Administración,Administración de Empresas,ECS,Universidad Marcelino Champagnat,Universidad,Privada,Lima,5,2448,4260,70,false,false,false,false
4566,Administración,Administración de Empresas,ECS,Universidad Nacional Agraria De La Selva,Universidad,Pública,Huánuco,5,2136,100,15,true,true,true,true
4606,Administración,Administración de Empresas,ECS,Universidad Nacional Daniel Alcides Carrión,Universidad,Pública,Pasco,5,2051,4260,11,true,true,false,true
5211,Administración,Administración de Empresas,ECS,Universidad Nacional José Faustino Sánchez Carrión,Universidad,Pública,Lima,5,2113,120,19,true,true,true,true
5254,Administración,Administración de Empresas,ECS,Universidad Nacional Mayor de San Marcos,Universidad,Pública,Lima,5,3203,4260,5,true,true,false,true
5318,Administración,Administración de Empresas,ECS,Universidad Nacional Pedro Ruíz Gallo,Universidad,Pública,Lambayeque,5,2519,4260,70,false,true,false,false
5351,Administración,Administración de Empresas,ECS,Universidad Nacional Santiago Antúnez de Mayolo,Universidad,Pública,Áncash,5,2099,60,70,true,true,true,false
4634,Administración,Administración de Empresas,ECS,Universidad Nacional de Cajamarca,Universidad,Pública,Cajamarca,5,2489,52,14,true,true,true,true
4655,Administración,Administración de Empresas,ECS,Universidad Nacional de Cañete,Universidad,Pública,Lima,5,2448,160,28,true,false,true,true
4690,Administración,Administración de Empresas,ECS,Universidad Nacional de Huancavelica,Universidad,Pública,Huancavelica,5,2153,4260,26,true,true,false,true
4747,Administración,Administración de Empresas,ECS,Universidad Nacional de La Amazonía Peruana,Universidad,Pública,Loreto,5,2437,144,21,true,true,true,true
4814,Administración,Administración de Empresas,ECS,Universidad Nacional de San Agustín,Universidad,Pública,Arequipa,5,2429,50,6,true,true,true,true
4918,Administración,Administración de Empresas,ECS,Universidad Nacional de San Martín,Universidad,Pública,San Martín,5,2300,232,28,true,true,true,true
4946,Administración,Administración de Empresas,ECS,Universidad Nacional de Trujillo,Universidad,Pública,La Libertad,5,2204,120,12,true,true,true,true
5009,Administración,Administración de Empresas,ECS,Universidad Nacional del Altiplano,Universidad,Pública,Puno,5,2372,4260,3,true,true,false,true
5596,Administración,Administración de Empresas,ECS,Universidad Peruana Unión,Universidad,Privada,Puno,5,2421,4260,70,false,true,false,false
5605,Administración,Administración de Empresas,ECS,Universidad Peruana Unión,Universidad,Privada,San Martín,5,2421,4260,70,false,true,false,false
5620,Administración,Administración de Empresas,ECS,Universidad Privada Antenor Orrego,Universidad,Privada,La Libertad,5,2107,4800,70,true,true,true,false
5641,Administración,Administración de Empresas,ECS,Universidad Privada Antenor Orrego,Universidad,Privada,Piura,5,2107,4260,70,false,true,false,false
5851,Administración,Administración de Empresas,ECS,Universidad Privada Telesup,Universidad,Privada,Lima,5,2706,4260,90,true,true,false,false
5675,Administración,Administración de Empresas,ECS,Universidad Privada de la Selva Peruana,Universidad,Privada,Loreto,5,2448,4260,90,true,false,false,false
5715,Administración,Administración de Empresas,ECS,Universidad Privada del Norte,Universidad,Privada,Cajamarca,5,2593,4260,70,false,true,false,false
5739,Administración,Administración de Empresas,ECS,Universidad Privada del Norte,Universidad,Privada,La Libertad,5,2593,5350,90,true,true,true,false
5777,Administración,Administración de Empresas,ECS,Universidad Privada del Norte,Universidad,Privada,Lima,5,2593,4260,70,false,true,false,false
5897,Administración,Administración de Empresas,ECS,Universidad San Ignacio de Loyola,Universidad,Privada,Lima,5,3634,4260,7,true,true,false,true
5952,Administración,Administración de Empresas,ECS,Universidad San Pedro,Universidad,Privada,Cajamarca,5,2147,4260,70,false,true,false,false
5969,Administración,Administración de Empresas,ECS,Universidad San Pedro,Universidad,Privada,Lima,5,2147,4260,70,false,true,false,false
5979,Administración,Administración de Empresas,ECS,Universidad San Pedro,Universidad,Privada,Piura,5,2147,4260,70,false,true,false,false
5936,Administración,Administración de Empresas,ECS,Universidad San Pedro,Universidad,Privada,Áncash,5,2147,4260,90,true,true,false,false
6002,Administración,Administración de Empresas,ECS,Universidad Señor de Sipán,Universidad,Privada,Lambayeque,5,2111,4260,90,true,true,false,false
